time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,5,1
2022-07-01 00:00:00+00:00,0,0,2,2
2022-07-02 00:00:00+00:00,0,0,15,3
2022-07-03 00:00:00+00:00,0,0,15,3
2022-07-04 00:00:00+00:00,0,0,2,1
2022-07-05 00:00:00+00:00,2,1,4,1
2022-07-06 00:00:00+00:00,5,3,105,9
2022-07-07 00:00:00+00:00,0,0,17,3
2022-07-08 00:00:00+00:00,0,0,202,5
2022-07-09 00:00:00+00:00,0,0,42,3
2022-07-10 00:00:00+00:00,0,0,145,3
2022-07-11 00:00:00+00:00,0,0,64,2
2022-07-12 00:00:00+00:00,0,0,71,7
2022-07-13 00:00:00+00:00,0,0,54,5
2022-07-14 00:00:00+00:00,0,0,99,5
2022-07-15 00:00:00+00:00,0,0,125,6
2022-07-16 00:00:00+00:00,0,0,103,5
2022-07-18 00:00:00+00:00,0,0,1,1
2022-07-19 00:00:00+00:00,0,0,1,1
2022-07-20 00:00:00+00:00,0,0,5,1
2022-07-22 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,0,0,1,1
2022-07-26 00:00:00+00:00,0,0,3,1
2022-07-27 00:00:00+00:00,0,0,9,1
2022-07-30 00:00:00+00:00,0,0,18,1
2022-08-01 00:00:00+00:00,0,0,5,2
2022-08-02 00:00:00+00:00,1,1,18,2
2022-08-04 00:00:00+00:00,0,0,55,3
2022-08-05 00:00:00+00:00,0,0,13,2
2022-08-07 00:00:00+00:00,0,0,18,1
2022-08-08 00:00:00+00:00,0,0,46,1
2022-08-09 00:00:00+00:00,0,0,6,1
2022-08-10 00:00:00+00:00,0,0,52,1
2022-08-11 00:00:00+00:00,0,0,19,2
2022-08-12 00:00:00+00:00,0,0,8,2
2022-08-13 00:00:00+00:00,0,0,1,1
2022-08-14 00:00:00+00:00,0,0,3,1
2022-08-15 00:00:00+00:00,0,0,10,3
2022-08-16 00:00:00+00:00,0,0,44,2
2022-08-17 00:00:00+00:00,0,0,6,2
2022-08-18 00:00:00+00:00,0,0,1,1
2022-08-19 00:00:00+00:00,0,0,2,2
2022-08-23 00:00:00+00:00,0,0,1,1
2022-08-24 00:00:00+00:00,0,0,31,2
2022-08-25 00:00:00+00:00,0,0,11,2
2022-08-26 00:00:00+00:00,0,0,2,1
2022-08-27 00:00:00+00:00,0,0,25,2
2022-08-28 00:00:00+00:00,0,0,6,2
2022-08-31 00:00:00+00:00,0,0,3,1
2022-09-01 00:00:00+00:00,0,0,2,1
2022-09-02 00:00:00+00:00,0,0,20,1
2022-09-03 00:00:00+00:00,0,0,3,3
2022-09-05 00:00:00+00:00,0,0,13,2
2022-09-06 00:00:00+00:00,0,0,11,3
2022-09-07 00:00:00+00:00,0,0,51,9
2022-09-08 00:00:00+00:00,0,0,31,5
