time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-06 00:00:00+00:00,0,0,4,1
2022-07-07 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,1,1,0,0
2022-08-03 00:00:00+00:00,2,1,0,0
2022-08-04 00:00:00+00:00,2,1,0,0
2022-08-05 00:00:00+00:00,1,1,0,0
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-12 00:00:00+00:00,0,0,1,1
2022-08-14 00:00:00+00:00,4,1,0,0
2022-08-25 00:00:00+00:00,0,0,1,1
2022-08-30 00:00:00+00:00,1,1,0,0
2022-09-04 00:00:00+00:00,0,0,1,1
2022-09-23 00:00:00+00:00,2,1,0,0
2022-09-24 00:00:00+00:00,0,0,1,1
2022-10-03 00:00:00+00:00,0,0,1,1
2022-10-11 00:00:00+00:00,0,0,2,1
2022-10-15 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,1,1,3,1
2022-10-22 00:00:00+00:00,0,0,6,4
2022-10-23 00:00:00+00:00,0,0,1,1
2022-10-27 00:00:00+00:00,0,0,2,1
2022-10-28 00:00:00+00:00,0,0,2,1
2022-10-29 00:00:00+00:00,0,0,2,1
2022-10-31 00:00:00+00:00,0,0,8,2
2022-11-01 00:00:00+00:00,0,0,3,1
2022-11-05 00:00:00+00:00,0,0,4,2
2022-11-06 00:00:00+00:00,0,0,2,2
2022-11-07 00:00:00+00:00,0,0,1,1
2022-11-08 00:00:00+00:00,0,0,5,3
2022-11-11 00:00:00+00:00,0,0,4,1
2022-11-12 00:00:00+00:00,0,0,1,1
2022-11-14 00:00:00+00:00,0,0,3,1
2022-11-15 00:00:00+00:00,0,0,5,3
2022-11-16 00:00:00+00:00,0,0,5,4
2022-11-17 00:00:00+00:00,0,0,3,3
2022-11-18 00:00:00+00:00,0,0,14,1
2022-11-21 00:00:00+00:00,0,0,8,3
2022-11-22 00:00:00+00:00,0,0,1,1
2022-11-23 00:00:00+00:00,0,0,8,3
2022-11-25 00:00:00+00:00,0,0,3,3
2022-11-26 00:00:00+00:00,0,0,2,1
2022-11-27 00:00:00+00:00,0,0,2,2
2022-11-28 00:00:00+00:00,0,0,2,2
2022-11-29 00:00:00+00:00,0,0,4,3
2022-12-01 00:00:00+00:00,0,0,1,1
2022-12-02 00:00:00+00:00,0,0,1,1
2022-12-07 00:00:00+00:00,2,1,0,0
2022-12-09 00:00:00+00:00,0,0,2,1
2022-12-13 00:00:00+00:00,0,0,2,2
2022-12-14 00:00:00+00:00,0,0,3,1
2022-12-15 00:00:00+00:00,0,0,1,1
2022-12-16 00:00:00+00:00,0,0,2,1
2022-12-25 00:00:00+00:00,0,0,5,3
2022-12-26 00:00:00+00:00,1,1,0,0
2022-12-30 00:00:00+00:00,0,0,2,1
2023-01-02 00:00:00+00:00,0,0,4,1
2023-01-04 00:00:00+00:00,2,1,7,1
2023-01-05 00:00:00+00:00,0,0,1,1
2023-01-06 00:00:00+00:00,1,1,4,2
2023-01-07 00:00:00+00:00,0,0,6,3
